id,system,description,labels,cost,cost
288,B,The remote ASP.NET web server is configured to show verboseerror messages which might lead to the disclosure of potentiallysensitive information about the remote installation such as thepath under which the remote web server resides or about theremote ASP.NET applications.,AU-33,370,565
331,B,The remote FTP service supports the use of the AUTH TLS command toswitch from a cleartext to an encrypted communications channel.,AU-42,1200,565
443,C,The remote host allows SSL/TLS connections with one or moreDiffie-Hellman moduli less than or equal to 1024 bits. Throughcryptanalysis a third party may be able to find the shared secret ina short amount of time depending on modulus size and attackerresources. This may allow an attacker to recover the plaintext orpotentially violate the integrity of connections.,AU-73,370,565
39,A,The remote host contains a file named robots.txt that is intended toprevent web robots from visiting certain directories in a website formaintenance or indexing purposes.  A malicious user may also be able touse the contents of this file to learn of sensitive documents ordirectories on the affected site and either retrieve them directly ortarget them for other attacks.,AU-7,2340,565
441,C,The remote host has an SSL certificate chain with one or more SSLcertificates that are going to expire soon. Failure to renew thesecertificates before the expiration date may result in denial ofservice for users.,AU-71,2340,565
406,C,The remote host has listening ports or established connections thatNessus was able to extract from the results of the netstat command.,AU-60,5000,565
37,A,The remote host is listening on UDP port 137 or TCP port 445 andreplies to NetBIOS nbtscan or SMB requests.Note that this plugin gathers information to be used in other pluginsbut does not itself generate a report.,AU-5,370,565
419,C,The remote host is missing one or more security patches. This pluginlists the newest version of each patch to install to make sure theremote host is up-to-date.,AU-64,5000,565
42,A,The remote host is running a Microsoft Windows operating system orSamba a CIFS/SMB server for Unix. It was possible to log into itusing one of the following accounts :- NULL session- Guest account- Supplied credentials,AU-10,1200,565
330,B,The remote host is running Citrix Licensing Service.,AU-41,370,565
35,A,The remote host is running MSSQL a database server from Microsoft. Itis possible to extract the version number of the remote installationfrom the server pre-login response.,AU-3,2340,565
442,C,The remote host supports EXPORT_DHE cipher suites with keys less thanor equal to 512 bits. Through cryptanalysis a third party can findthe shared secret in a short amount of time.A man-in-the middle attacker may be able to downgrade the session touse EXPORT_DHE cipher suites. Thus it is recommended to removesupport for weak cipher suites.,AU-72,5000,565
440,C,The remote host supports EXPORT_RSA cipher suites with keys less thanor equal to 512 bits. An attacker can factor a 512-bit RSA modulus ina short amount of time.A man-in-the middle attacker may be able to downgrade the session touse EXPORT_RSA cipher suites e.g. CVE-2015-0204. Thus it isrecommended to remove support for weak cipher suites.,AU-70,1200,565
449,C,The remote host supports SSLv2 and therefore may be affected by avulnerability that allows a cross-protocol Bleichenbacher paddingoracle attack known as DROWN Decrypting RSA with Obsolete andWeakened eNcryption. This vulnerability exists due to a flaw in theSecure Sockets Layer Version 2 SSLv2 implementation and it allowscaptured TLS traffic to be decrypted. A man-in-the-middle attacker canexploit this to decrypt the TLS connection by utilizing previouslycaptured traffic and weak cryptography along with a series ofspecially crafted connections to an SSLv2 server that uses the sameprivate key.,AU-77,370,565
409,C,The remote host supports the use of RC4 in one or more cipher suites.The RC4 cipher is flawed in its generation of a pseudo-random streamof bytes so that a wide variety of small biases are introduced intothe stream decreasing its randomness.If plaintext is repeatedly encrypted e.g. HTTP cookies and anattacker is able to obtain many i.e. tens of millions ciphertextsthe attacker may be able to derive the plaintext.,AU-63,2340,565
332,B,The remote host supports the use of SSL ciphers that offer mediumstrength encryption. Nessus regards medium strength as any encryptionthat uses key lengths at least 64 bits and less than 112 bits or elsethat uses the 3DES encryption suite.Note that it is considerably easier to circumvent medium strengthencryption if the attacker is on the same physical network.,AU-43,2340,565
390,C,The remote host supports the use of SSL ciphers that offer PerfectForward Secrecy PFS encryption.  These cipher suites ensure thatrecorded SSL traffic cannot be broken at a future date if the serversprivate key is compromised.,AU-56,5000,565
321,B,The remote host supports the use of SSL ciphers that offer weakencryption.Note: This is considerably easier to exploit if the attacker is on thesame physical network.,AU-38,1200,565
423,C,The remote host supports the use of SSL ciphers that operate in CipherBlock Chaining CBC mode.  These cipher suites offer additionalsecurity over Electronic Codebook ECB mode but have the potential toleak information if used improperly.,AU-66,1200,565
444,C,The remote HTTPS server is not enforcing HTTP Strict TransportSecurity HSTS. The lack of HSTS allows downgrade attacksSSL-stripping man-in-the-middle attacks and weakens cookie-hijackingprotections.,AU-74,1200,565
216,B,The remote service accepts connections encrypted using SSL 2.0 and/orSSL 3.0. These versions of SSL are affected by several cryptographicflaws including:  - An insecure padding scheme with CBC ciphers.  - Insecure session renegotiation and resumption schemes.An attacker can exploit these flaws to conduct man-in-the-middleattacks or to decrypt communications between the affected service andclients.Although SSL/TLS has a secure means for choosing the highest supportedversion of the protocol so that these versions will be used only ifthe client or server support nothing better many web browsersimplement this in an unsafe way that allows an attacker to downgradea connection such as in POODLE. Therefore it is recommended thatthese protocols be disabled entirely.NIST has determined that SSL 3.0 is no longer acceptable for securecommunications. As of the date of enforcement found in PCI DSS v3.1any version of SSL will not meet the PCI SSCs definition of strongcryptography.,AU-24,5000,565
485,C,The remote service accepts connections encrypted using TLS 1.0. TLS 1.0 has anumber of cryptographic design flaws. Modern implementations of TLS 1.0mitigate these problems but newer versions of TLS like 1.1 and 1.2 aredesigned against these flaws and should be used whenever possible.PCI DSS v3.1 requires that TLS 1.0 be disabled entirely by June 2018 exceptfor point-of-sale terminals and their termination points.,AU-85,370,565
67,A,The remote service understands the CIFS Common Internet File Systemor Server Message Block SMB protocol used to provide shared accessto files printers etc between nodes on a network.,AU-16,5000,565
457,C,The remote service uses an SSL certificate chain that contains aself-signed root Certification Authority certificate at the top of thechain.,AU-78,1200,565
433,C,The remote SSH server is configured to allow either MD5 or 96-bit MACalgorithms both of which are considered weak.Note that this plugin only checks for the options of the SSH serverand it does not check for vulnerable software versions.,AU-69,370,565
377,B,The remote SSL/TLS server accepts a weak Diffie-Hellman DH publickey value.This flaw may aid an attacker in conducting a man-in-the-middle MiTMattack against the remote server since it could enable a forcedcalculation of a fully predictable Diffie-Hellman secret.By itself this flaw is not sufficient to set up a MiTM attack hencea risk factor of None as it would require some SSL implementationflaws to affect one of the clients connecting to the remote host.,AU-52,5000,565
407,C,The remote Terminal Services is configured to use SSL/TLS.,AU-61,370,565
447,C,The remote web server hosts a version of Jenkins or Jenkins Enterprisethat is prior to 1.638 or 1.625.2. It is therefore affected by aflaw in the Apache Commons Collections ACC library that allows thedeserialization of unauthenticated Java objects. An unauthenticatedremote attacker can exploit this to execute arbitrary code on thetarget host.,AU-75,2340,565
459,C,The remote web server hosts a version of Jenkins that is prior to2.44 or a version of Jenkins LTS prior to 2.32.2 or else a versionof Jenkings Opertations Center that is 1.625.x.y prior to 1.625.22.12.7.x.0.y prior to 2.7.22.0.1 or 2.x.y.x prior to 2.32.2.1 or else aversion of Jenkins Enterprise that is 1.651.x.y prior to 1.651.22.12.7.x.0.y prior to 2.7.22.0.1 or 2.x.y.z prior to 2.32.2.1. It istherefore affected by the following vulnerabilities :  - A DOM-based cross-site scripting XSS vulnerability    exists in jQuery Core due to improper validation of    certain tags while being rendered using innerHTML. An    unauthenticated remote attacker can exploit this via    a specially crafted request to execute arbitrary script    code in the users browser session. CVE-2011-4969  - An integer overflow condition exists in jBCrypt in the    key stretching implementation in gensalt within the    crypt_raw function which is triggered when the    log_rounds parameter is set to the maximum value 31.    An unauthenticated remote attacker can exploit this to    cause log_rounds to perform zero rounds allowing a    brute-force attack to more easily determine the password    hash. CVE-2015-0886  - A cross-site request forgery vulnerability XSRF exists    due to several URLs related to group and role management    not requiring POST form submission. An unauthenticated    remote attacker can exploit this to create unused roles    delete unused roles and set group descriptions. Note    that only Jenkins Enterprise is affected by this issue.    CVE-2016-9887  - A flaw exists when sensitive data such as passwords is    encrypted using AES-128 with electronic codebook mode    ECB. An authenticated remote attacker can exploit    this to disclose information about reused passwords.    CVE-2017-2598  - An unspecified flaw exists that is triggered when    handling new items due to insufficient permission    checks. An authenticated remote attacker can exploit    this by using the name of an already existing item to    create a new item that overwrites the existing item or    to gain access to related objects. CVE-2017-2599  - An information disclosure vulnerability exists due to    improper permissions being set for accessing node    monitor data via the remote API. An authenticated    remote attacker can exploit this to disclose system    configuration and runtime information. CVE-2017-2600  - A stored cross-site scripting XSS vulnerability exists    due to improper validation of input to names and    descriptions fields before returning it to users. An    authenticated remote attacker can exploit this via a    specially crafted request to execute arbitrary script    code in a users browser session. CVE-2017-2601  - A flaw exists in the Agent-to-Master Security Subsystem    because build metadata from the Pipeline suite is not    properly blacklisted. An authenticated remote attacker    can exploit this to overwrite metadata files.    CVE-2017-2602  - A flaw exists in the config.xml API when handling    user-initiated agent disconnects which results in User    objects being included in the agent API output. An    authenticated remote attacker can exploit this to    disclose sensitive information e.g. user API tokens.    CVE-2017-2603  - A flaw exists when handling permissions for    administrative monitors that allows an authenticated    remote attacker to access certain provided actions.    CVE-2017-2604  - A flaw exists in the Re-Key Admin Monitor when    re-encrypting secrets with a new key that results in old    secrets including the encryption key being stored    with world-readable permissions. A local attacker can    exploit this to disclose sensitive information from the    backup files. CVE-2017-2605  - A flaw exists in the internal API specifically within    the Jenkins::getItems function when requesting a list    of items via UnprotectedRootAction. An authenticated    remote attacker can exploit this to disclose information    regarding otherwise restricted items. CVE-2017-2606  - A stored cross-site scripting XSS vulnerability exists    due to improper validation of input passed via    serialized console notes before returning it to users in    build logs. An authenticated remote attacker can    exploit this via a specially crafted request to    execute arbitrary script code in a users browser    session. CVE-2017-2607  - A flaw exists in the XStream-based API due to improper    validation of user-supplied input before it is    deserialized. An authenticated remote attacker can    exploit this via a specially crafted request to    execute arbitrary code. CVE-2017-2608  - A flaw exists in the search box implementation due to    the autocompletion feature displaying the names of    restricted views. An authenticated remote attacker can    exploit this to disclose sensitive names of views.    CVE-2017-2609  - A stored cross-site scripting XSS vulnerability exists    due to improper validation of input passed in user names    before returning it to users. An authenticated remote    attacker can exploit this via a specially crafted    request to execute arbitrary script code in a users    browser session. CVE-2017-2610  - A flaw exists due to improper validation of permissions    to the /workspaceCleanup and /fingerprintCleanup URLs.    An authenticated remote attacker can exploit this to    cause a high load on the master and agents.    CVE-2017-2611  - A flaw exists due to a failure to properly restrict    access to JDK download credentials. An authenticated    remote attacker can exploit this to overwrite the    credentials thereby causing builds to fail.    CVE-2017-2612  - A cross-site request forgery XSRF vulnerability exists    due to a failure by HTTP GET requests to /user to    require multiple steps explicit confirmation or a    unique token when performing certain sensitive actions.    An unauthenticated remote attacker can exploit this by    convincing a user to follow a specially crafted link to    cause the creation of new temporary users.    CVE-2017-2613,AU-80,5000,565
408,C,The remote web server hosts Jenkins a job scheduling / managementsystem and a drop-in replacement for Hudson.,AU-62,1200,565
41,A,The remote web server is configured such that it does not return 404Not Found error codes when a nonexistent file is requested perhapsreturning instead a site map search page or authentication page.Nessus has enabled some counter measures for this.  However theymight be insufficient.  If a great number of security holes areproduced for this port they might not all be accurate.,AU-9,370,565
75,A,The remote web server uses its default welcome page. Therefore itsprobable that this server is not used at all or is serving contentthat is meant to be hidden.,AU-18,1200,565
458,C,The remote Windows host supports Server Message Block Protocolversion 1 SMBv1. Microsoft recommends that users discontinue the useof SMBv1 due to the lack of security features that were included inlater SMB versions. Additionally the Shadow Brokers group reportedlyhas an exploit that affects SMB; however it is unknown if the exploitaffects SMBv1 or another version. In response to this US-CERTrecommends that users disable SMBv1 per SMB best practices to mitigatethese potential issues.,AU-79,2340,565
365,B,The servers X.509 certificate cannot be trusted. This situation canoccur in three different ways in which the chain of trust can bebroken as stated below :  - First the top of the certificate chain sent by the    server might not be descended from a known public    certificate authority. This can occur either when the    top of the chain is an unrecognized self-signed    certificate or when intermediate certificates are    missing that would connect the top of the certificate    chain to a known public certificate authority.  - Second the certificate chain may contain a certificate    that is not valid at the time of the scan. This can    occur either when the scan occurs before one of the    certificates notBefore dates or after one of the    certificates notAfter dates.  - Third the certificate chain may contain a signature    that either didnt match the certificates information    or could not be verified. Bad signatures can be fixed by    getting the certificate with the bad signature to be    re-signed by its issuer. Signatures that could not be    verified are the result of the certificates issuer    using a signing algorithm that Nessus either does not    support or does not recognize.If the remote host is a public host in production any break in thechain makes it more difficult for users to verify the authenticity and identity of the web server. This could make it easier to carry out man-in-the-middle attacks against the remote host.,AU-50,1200,565
357,B,The service running on the remote host presents an SSL certificate forwhich the commonName CN attribute does not match the hostname onwhich the service listens.,AU-46,1200,565
432,C,The SSH server is configured to support Cipher Block Chaining CBCencryption.  This may allow an attacker to recover the plaintext messagefrom the ciphertext. Note that this plugin only checks for the options of the SSH server anddoes not check for vulnerable software versions.,AU-68,5000,565
339,B,The SSL certificate associated with the remote service will expiresoon.,AU-44,5000,565
492,C,The version of Jenkins installed on the remote host isaffected by a cross-site scripting XSS vulnerability when usingconfiguration tools such as JDK Maven or Ant are to build scripts.Tool names may not escape configuration forums properly resulting in astored cross-site scripting vulnerability.,AU-86,1200,565
479,C,The version of Jenkins running on the remote web server is prior to2.57 or is a version of Jenkins LTS prior to 2.46.2 or else it isa version of Jenkins Enterprise that is 1.625.x.y prior to 1.625.24.11.651.x.y prior to 1.651.24.1 2.7.x.0.y prior to 2.7.24.0.1 or2.x.y.z prior to 2.46.2.1. It is therefore affected by multiplevulnerabilities :  - A remote code execution vulnerability exists within    core/src/main/java/jenkins/model/Jenkins.java that    allows an untrusted serialized Java SignedObject to be    transfered to the remoting-based Jenkins CLI and    deserialized using a new ObjectInputStream. By using a    specially crafted request an unauthenticated remote    attacker can exploit this issue to bypass existing    blacklist protection mechanisms and execute arbitrary    code. CVE-2017-1000353  - A flaw exists in the remoting-based CLI specifically in    the ClientAuthenticationCache.java class when storing    the encrypted username of a successfully authenticated    user in a cache file that is used to authenticate    further commands. An authenticated remote attacker who    has sufficient permissions to create secrets in Jenkins    and download their encrypted values can exploit this    issue to impersonate any other Jenkins user on the same    instance. CVE-2017-1000354  - A denial of service vulnerability exists in the XStream    library. An authenticated remote attacker who has    sufficient permissions such as creating or configuring    items views or jobs can exploit this to crash the Java    process by using specially crafted XML content.    CVE-2017-1000355  - Cross-site request forgery XSRF vulnerabilities exist    within multiple Java classes due to a failure to require    multiple steps explicit confirmation or a unique token    when performing certain sensitive actions. An    unauthenticated remote attacker can exploit these to    perform several administrative actions by convincing a    user into opening a specially crafted web page.    CVE-2017-1000356Note that Nessus has not tested for these issues but has insteadrelied only on the applications self-reported version number.,AU-82,1200,565
484,C,The version of Jenkins running on the remote web server is prior to2.89 or is a version of Jenkins LTS prior to 2.73.3.It is therefore affected by multiple vulnerabilities :  - Jenkins contains a flaw that allows traversing outside of a  restricted path. The issue is due to the program not properly  sanitizing user input specifically slashes and path traversal  style attacks e.g. ../ supplied via usernames. With a  specially crafted username a remote attacker can overwrite  arbitrary files on the system.  - Jenkins contains a flaw that allows a stored cross-site  scripting XSS attack. This flaw exists because the program  does not validate autocomplete suggestions before returning it  to users. This may allow a remote attacker to create a specially  crafted request that will execute arbitrary script code in a  users browser session within the trust relationship between  their browser and the server.Note that Nessus has not tested for these issues but has insteadrelied only on the applications self-reported version number.,AU-84,5000,565
397,C,The X.509 certificate chain for this service is not signed by arecognized certificate authority.  If the remote host is a public hostin production this nullifies the use of SSL as anyone could establisha man-in-the-middle attack against the remote host. Note that this plugin does not check for certificate chains that endin a certificate that is not self-signed but is signed by anunrecognized certificate authority.,AU-57,370,565
34,A,This plugin attempts to determine the type and the version of theremote web server.,AU-2,1200,565
214,B,This plugin checks expiry dates of certificates associated with SSL-enabled services on the target and reports whether any have alreadyexpired.,AU-23,2340,565
58,A,This plugin connects to every SSL-related port and attempts to extract and dump the X.509 certificate.,AU-14,1200,565
382,B,This plugin detects which SSL and TLS versions are supported by theremote service for encrypting communications.,AU-55,2340,565
225,B,This plugin detects which SSL ciphers are supported by the remoteservice for encrypting communications.,AU-26,1200,565
405,C,This plugin runs netstat on the remote machine to enumerate allactive ESTABLISHED or LISTENING tcp/udp connections.,AU-59,2340,565
373,B,This script detects whether a host allows resuming SSL sessions byperforming a full SSL handshake to receive a session ID and thenreconnecting with the previously used session ID.  If the serveraccepts the session ID in the second connection the server maintainsa cache of sessions that can be resumed.,AU-51,2340,565
431,C,This script detects which algorithms and languages are supported bythe remote service for encrypting communications.,AU-67,2340,565
318,B,This test gives some information about the remote HTTP protocol - theversion used whether HTTP Keep-Alive and HTTP pipelining are enabledetc... This test is informational only and does not denote any securityproblem.,AU-35,2340,565
141,A,Using a combination of remote probes e.g. TCP/IP SMB HTTP NTPSNMP etc. it is possible to guess the name of the remote operatingsystem in use. It is also possible sometimes to guess the version ofthe operating system.,AU-19,2340,565
381,B,Using the supplied credentials Nessus was able to determine when thehost was last started.,AU-54,1200,565
